language,extension,include_final
CartoCSS,mss,TRUE
Bikeshed,bs,TRUE
Cadence,cdc,TRUE
jq,jq,TRUE
jq,test,TRUE
ObjDump,objdump,TRUE
Move,move,TRUE
Nearley,ne,TRUE
X10,x10,TRUE
Grammatical Framework,gf,TRUE
Altium Designer,outjob,TRUE
Altium Designer,prjpcb,TRUE
Altium Designer,schdoc,TRUE
Altium Designer,pcbdoc,TRUE
ooc,ooc,TRUE
IGOR Pro,ipf,TRUE
Wren,wren,TRUE
SRecode Template,srt,TRUE
eC,ec,TRUE
eC,eh,TRUE
eC,lower,TRUE
Motoko,mo,TRUE
NetLogo,nlogo,TRUE
EQ,eq,TRUE
EQ,,TRUE
Harbour,hb,TRUE
VCL,vcl,TRUE
VCL,vtc,TRUE
Whiley,whiley,TRUE
PEG.js,pegjs,TRUE
STON,ston,TRUE
Hy,hy,TRUE
Hy,hx,TRUE
Beef,bf,TRUE
StringTemplate,st,TRUE
LOLCODE,lol,TRUE
LOLCODE,hpp,TRUE
LOLCODE,h,TRUE
LOLCODE,cpp,TRUE
LOLCODE,cs,TRUE
LOLCODE,md,TRUE
LOLCODE,vcxproj,TRUE
LOLCODE,inc,TRUE
hoon,hoon,TRUE
Ragel,rl,TRUE
IRC log,weechatlog,TRUE
XProc,xpl,TRUE
XProc,xproc,TRUE
Pic,pic,TRUE
Pic,chem,TRUE
Pic,inc,TRUE
Pic,asm,TRUE
Odin,odin,TRUE
mupad,mu,TRUE
Jolie,ol,TRUE
Jolie,iol,TRUE
ABAP CDS,asddls,TRUE
Nu,nu,TRUE
REALbasic,rbbas,TRUE
REALbasic,rbfrm,TRUE
Nu,c,TRUE
Nu,,TRUE
REALbasic,rbmnu,TRUE
REALbasic,rbtbar,TRUE
REALbasic,,TRUE
Pike,pike,TRUE
Pike,pmod,TRUE
Pike,,TRUE
Pike,code,TRUE
CIL,cil,TRUE
CIL,c,TRUE
KakouneScript,kak,TRUE
KakouneScript,,TRUE
nanorc,nanorc,TRUE
nanorc,,TRUE
GEDCOM,ged,TRUE
Literate Agda,lagda,TRUE
Cloud Firestore Security Rules,rules,TRUE
Kusto,kql,TRUE
Kusto,csl,TRUE
C2hs Haskell,chs,TRUE
Slice,ice,TRUE
Slice,,TRUE
Component Pascal,cps,TRUE
Component Pascal,cp,TRUE
Component Pascal,txt,TRUE
Component Pascal,mve,TRUE
Chapel,chpl,TRUE
KiCad Legacy Layout,brd,TRUE
SmPL,cocci,FALSE
MTML,mtml,TRUE
Curry,curry,TRUE
Curry,decaf,TRUE
Logtalk,lgt,TRUE
Logtalk,logtalk,TRUE
Qt Script,qs,TRUE
Qt Script,,TRUE
Jison,jison,TRUE
RouterOS Script,rsc,TRUE
HolyC,hc,TRUE
EBNF,ebnf,TRUE
Apollo Guidance Computer,agc,TRUE
Tea,tea,TRUE
SQLPL,sql,TRUE
SQLPL,db2,TRUE
WebIDL,webidl,TRUE
WebIDL,widl,TRUE
WebIDL,idl,TRUE
LFE,lfe,TRUE
HTML+ECR,ecr,TRUE
KRL,krl,TRUE
BrighterScript,bs,TRUE
BrighterScript,bootstraps,TRUE
Edje Data Collection,edc,TRUE
Creole,creole,TRUE
GAML,gaml,TRUE
Cap'n Proto,capnp,TRUE
Zimpl,zpl,TRUE
NetLinx,axs,TRUE
NetLinx,axi,TRUE
Avro IDL,avdl,TRUE
Kaitai Struct,ksy,TRUE
Janet,janet,TRUE
Janet,,TRUE
UrWeb,ur,TRUE
UrWeb,urs,TRUE
Talon,talon,TRUE
PicoLisp,l,TRUE
PicoLisp,,TRUE
MUF,m,TRUE
MUF,muf,TRUE
HyPhy,bf,TRUE
Gemini,gmi,TRUE
ZIL,zil,TRUE
ZIL,mud,TRUE
DenizenScript,dsc,TRUE
Gleam,gleam,TRUE
Valve Data Format,vdf,TRUE
ECLiPSe,ecl,TRUE
Pod 6,pod6,TRUE
Pod 6,rakudoc,TRUE
Pod 6,pod,TRUE
Pod 6,,TRUE
Regular Expression,regex,TRUE
Regular Expression,regexp,TRUE
JSONiq,jq,TRUE
Muse,muse,TRUE
Muse,,TRUE
Antlers,html,TRUE
Riot,riot,TRUE
Fancy,fy,TRUE
Fancy,,TRUE
Fancy,fancypack,TRUE
Mint,mint,TRUE
XPages,metadata,TRUE
XPages,,TRUE
Cycript,cy,TRUE
Pep8,pep,TRUE
Git Revision List,,TRUE
Elvish,elv,TRUE
Elvish,,TRUE
Xonsh,xsh,TRUE
Click,click,TRUE
Nasal,nas,TRUE
Grace,grace,TRUE
Rouge,rg,TRUE
Rouge,lg,TRUE
NL,nl,TRUE
Module Management System,mms,TRUE
Module Management System,mmk,TRUE
Formatted,for,TRUE
Formatted,fs,TRUE
Gentoo Eclass,eclass,TRUE
Vyper,vy,TRUE
Win32 Message File,mc,TRUE
Cirru,cirru,TRUE
Unified Parallel C,upc,TRUE
Parrot Assembly,pasm,TRUE
Lark,lark,TRUE
Golo,golo,TRUE
Self,self,TRUE
dircolors,,TRUE
dircolors,dircolors,TRUE
X Font Directory Index,dir,TRUE
X Font Directory Index,scale,TRUE
X Font Directory Index,alias,TRUE
Moocode,moo,TRUE
Moocode,boo,TRUE
FIGlet Font,flf,TRUE
Redcode,cw,TRUE
ZAP,zap,TRUE
ZAP,xzap,TRUE
Befunge,bf,TRUE
Befunge,befunge,TRUE
Quake,,TRUE
Quake,cfg,TRUE
Mirah,mirah,TRUE
Mirah,duby,TRUE
Ox,ox,TRUE
Ox,oxh,TRUE
Ox,,TRUE
Ox,oxo,TRUE
Nit,nit,TRUE
TextMate Properties,,TRUE
PogoScript,pogo,TRUE
HOCON,hocon,TRUE
HOCON,conf,TRUE
Yul,yul,TRUE
LigoLANG,ligo,TRUE
Filterscript,fs,TRUE
LoomScript,ls,TRUE
LoomScript,as,TRUE
ABNF,abnf,TRUE
Opa,opa,TRUE
Ioke,ik,TRUE
Ioke,,TRUE
Augeas,aug,TRUE
Mask,mask,TRUE
Scaml,scaml,TRUE
CameLIGO,mligo,TRUE
Dogescript,djs,TRUE
GCC Machine Description,md,TRUE
Shen,shen,TRUE
Isabelle ROOT,,TRUE
Cairo,cairo,TRUE
RUNOFF,rno,TRUE
RUNOFF,rnh,TRUE
XCompose,xcompose,TRUE
XCompose,,TRUE
cURL Config,curlrc,TRUE
cURL Config,,TRUE
Clarity,clar,TRUE
TXL,txl,TRUE
wisp,wisp,TRUE
wisp,w,FALSE
Wget Config,wgetrc,TRUE
Wget Config,,TRUE
Glyph,glf,TRUE
Charity,ch,TRUE
Charity,txt,TRUE
Charity,xml,TRUE
Genie,gs,TRUE
Sieve,sieve,TRUE
Sieve,,TRUE
Bison,bison,FALSE
Bison,y,TRUE
Bison,ll,TRUE
ShellCheck Config,shellcheckrc,TRUE
ReasonLIGO,religo,TRUE
Earthly,,TRUE
Jison Lex,jisonlex,TRUE
Jison Lex,l,TRUE
Opal,opal,TRUE
TI Program,8xp,TRUE
TI Program,txt,TRUE
TI Program,8xk,TRUE
Darcs Patch,dpatch,TRUE
Darcs Patch,raw,TRUE
ShellSession,,TRUE
ShellSession,sco,TRUE
Oxygene,oxygene,TRUE
Parrot,parrot,TRUE
Parrot,txt,TRUE
Parrot,list,TRUE
Myghty,myt,TRUE
Object Data Instance Notation,odin,TRUE
Ecere Projects,epj,TRUE
NumPy,numpy,TRUE
NumPy,,TRUE
Omgrofl,omgrofl,TRUE
Python traceback,pytb,TRUE
Python traceback,py2tb,TRUE
NetLinx+ERB,erb,TRUE
MiniD,minid,TRUE
MiniD,j3md,TRUE
Record Jar,txt,TRUE
C-ObjDump,,TRUE
