language,extension,include_final
Processing,pde,TRUE
Vim Script,vim,TRUE
Vim Script,vimrc,TRUE
Vim Script,,TRUE
Vim Script,gvimrc,TRUE
mIRC Script,mrc,FALSE
GLSL,glsl,TRUE
GLSL,frag,TRUE
GLSL,vert,TRUE
GLSL,shader,TRUE
GLSL,fs,TRUE
GLSL,fsh,TRUE
GLSL,fp,TRUE
GLSL,geo,FALSE
GLSL,vsh,TRUE
GLSL,geom,TRUE
Fortran,f,TRUE
Fortran,for,TRUE
Fortran,,TRUE
Fortran,fpp,TRUE
F#,fs,TRUE
F#,fsx,TRUE
F#,fsi,TRUE
Roff Manpage,1,TRUE
Roff Manpage,3,TRUE
Roff Manpage,9,FALSE
Roff Manpage,2,FALSE
Roff Manpage,4,FALSE
Roff Manpage,5,TRUE
Roff Manpage,8,TRUE
Roff Manpage,7,TRUE
Roff Manpage,6,FALSE
Roff Manpage,1d,FALSE
Roff Manpage,man,FALSE
Roff Manpage,,FALSE
Roff Manpage,3d,FALSE
Fluent,ftl,TRUE
Fluent,,TRUE
Game Maker Language,gml,TRUE
Unix Assembly,s,TRUE
Gettext Catalog,po,TRUE
Gettext Catalog,pot,FALSE
HTML+PHP,phtml,TRUE
VHDL,vhd,TRUE
VHDL,vhdl,TRUE
VHDL,vho,TRUE
Julia,jl,TRUE
Julia,raw,TRUE
Motorola 68K Assembly,s,TRUE
Motorola 68K Assembly,asm,TRUE
Motorola 68K Assembly,inc,TRUE
Motorola 68K Assembly,i,TRUE
Motorola 68K Assembly,x68,TRUE
Graphviz (DOT),dot,TRUE
Graphviz (DOT),gv,TRUE
Scheme,scm,TRUE
Scheme,sld,TRUE
Scheme,ss,TRUE
Scheme,sls,TRUE
Scheme,sch,TRUE
Scheme,sps,TRUE
Apex,cls,TRUE
OpenEdge ABL,p,FALSE
OpenEdge ABL,w,TRUE
OpenEdge ABL,cls,TRUE
Go Module,mod,TRUE
AsciiDoc,adoc,TRUE
AsciiDoc,asciidoc,TRUE
AsciiDoc,asc,FALSE
Stylus,styl,TRUE
CoNLL-U,conll,FALSE
CoNLL-U,conllu,FALSE
Clojure,clj,TRUE
Clojure,cljs,TRUE
Clojure,cljc,TRUE
Clojure,bb,TRUE
Clojure,boot,TRUE
Slim,slim,TRUE
Haxe,hx,TRUE
Emacs Lisp,el,TRUE
Emacs Lisp,emacs,TRUE
Emacs Lisp,,TRUE
OCaml,ml,TRUE
OCaml,mli,TRUE
OCaml,mly,TRUE
OCaml,mll,TRUE
SubRip Text,srt,FALSE
Git Config,gitmodules,FALSE
Git Config,gitconfig,TRUE
AMPL,mod,TRUE
AMPL,ampl,TRUE
Jest Snapshot,snap,FALSE
Common Lisp,lisp,TRUE
Common Lisp,lsp,TRUE
Common Lisp,asd,TRUE
Common Lisp,l,FALSE
Common Lisp,cl,TRUE
Common Lisp,sexp,FALSE
Common Lisp,gc,TRUE
Common Lisp,,TRUE
BibTeX,bib,TRUE
Rich Text Format,rtf,FALSE
Erlang,erl,TRUE
Erlang,hrl,TRUE
Erlang,config,TRUE
Erlang,src,TRUE
Erlang,,TRUE
Erlang,lock,TRUE
GDScript,gd,TRUE
Jinja,j2,TRUE
Jinja,jinja2,TRUE
Jinja,jinja,TRUE
Jinja,html,TRUE
JSON with Comments,,TRUE
JSON with Comments,json,TRUE
JSON with Comments,babelrc,TRUE
JSON with Comments,jshintrc,TRUE
JSON with Comments,jsonc,TRUE
JSON with Comments,jscsrc,TRUE
Puppet,pp,TRUE
Puppet,,FALSE
XML Property List,plist,FALSE
XML Property List,tmsnippet,FALSE
XML Property List,tmlanguage,FALSE
XML Property List,tmtheme,FALSE
XML Property List,tmcommand,FALSE
JAR Manifest,mf,FALSE
D,d,TRUE
D,di,TRUE
VBA,frm,TRUE
VBA,bas,TRUE
VBA,cls,TRUE
VBA,vba,TRUE
VBA,frx,FALSE
edn,edn,FALSE
desktop,service,FALSE
desktop,desktop,FALSE
desktop,in,FALSE
Svelte,svelte,TRUE
Gnuplot,plt,FALSE
Gnuplot,gnuplot,TRUE
Gnuplot,gnu,TRUE
Gnuplot,gp,FALSE
Gnuplot,plot,FALSE
Gnuplot,p,FALSE
Gnuplot,,FALSE
Protocol Buffer,proto,TRUE
PLSQL,sql,TRUE
PLSQL,pkb,TRUE
PLSQL,tps,FALSE
PLSQL,prc,TRUE
PLSQL,pls,FALSE
PLSQL,spc,TRUE
PLSQL,trg,FALSE
PLSQL,pks,TRUE
PLSQL,pck,FALSE
PLSQL,fnc,TRUE
PLSQL,vw,FALSE
PLSQL,bdy,TRUE
PLSQL,plb,TRUE
PLSQL,ddl,TRUE
PLSQL,plsql,TRUE
Nix,nix,TRUE
M,m,TRUE
PureBasic,pb,FALSE
PureBasic,pbi,TRUE
Forth,f,TRUE
Forth,fs,TRUE
Forth,fth,TRUE
Forth,for,TRUE
Forth,4th,TRUE
Turtle,ttl,FALSE
Raku,pl,TRUE
Raku,t,TRUE
Raku,pm,TRUE
Raku,pm6,TRUE
Raku,p6,TRUE
Raku,raku,TRUE
Raku,pl6,TRUE
Raku,,TRUE
Raku,rakumod,TRUE
Raw token data,raw,FALSE
Raw token data,jl,TRUE
FreeMarker,ftl,TRUE
FreeMarker,,TRUE
Tcl,tcl,TRUE
Tcl,,TRUE
Tcl,tm,TRUE
Tcl,adp,TRUE
Tcl,test,TRUE
mcfunction,mcfunction,TRUE
JavaScript+ERB,erb,TRUE
Racket,rkt,TRUE
Racket,scrbl,TRUE
Racket,rktd,FALSE
Classic ASP,asp,TRUE
Prolog,pl,TRUE
Prolog,pro,TRUE
Prolog,prolog,TRUE
QMake,pro,TRUE
QMake,pri,TRUE
Gentoo Ebuild,ebuild,TRUE
Gentoo Ebuild,0,TRUE
PLpgSQL,sql,TRUE
PLpgSQL,pgsql,TRUE
QML,qml,TRUE
QML,qbs,TRUE
Solidity,sol,TRUE
DIGITAL Command Language,com,FALSE
SQF,sqf,TRUE
Elm,elm,TRUE
SystemVerilog,sv,TRUE
SystemVerilog,svh,TRUE
SystemVerilog,vh,TRUE
Cuda,cu,TRUE
Cuda,cuh,TRUE
Procfile,,TRUE
KiCad Layout,,FALSE
Mathematica,nb,TRUE
Mathematica,m,TRUE
Mathematica,ma,TRUE
Mathematica,mt,TRUE
Mathematica,wl,TRUE
Mathematica,cdf,FALSE
RPM Spec,spec,TRUE
XSLT,xsl,TRUE
XSLT,xslt,TRUE
XSLT,,TRUE
Standard ML,sig,FALSE
Standard ML,sml,TRUE
Standard ML,ml,TRUE
Standard ML,fun,TRUE
GraphQL,graphql,TRUE
GraphQL,gql,TRUE
